Proteome ID	Organism	Organism ID	Protein count	BUSCO	CPD	Genome representation (RefSeq)
UP000310066	Friedmanniomyces endolithicus (Strain: CCFEE 5311)	329885	17901	C:96.1%[S:14.3%,D:81.9%],F:1%,M:2.9%,n:3786	Close to standard (high value)	full
UP000335636	Marmota monax (Woodchuck)	9995	41281	C:81.1%[S:53.8%,D:27.2%],F:5.9%,M:13%,n:13798	Standard	full
UP000070412	Sarcoptes scabiei (Itch mite) (Acarus scabiei)	52283	10528	C:89.4%[S:0%,D:89.4%],F:3.3%,M:7.4%,n:2934	Unknown	full
UP000091879	Pseudogymnoascus sp. 23342-1-I1 (Strain: 23342-1-I1)	1524831	10680	C:99.2%[S:98.7%,D:0.5%],F:0.3%,M:0.5%,n:3234	Standard	full
UP000001875	Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167) (Strain: ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167)	332952	13500	C:88.6%[S:88.3%,D:0.3%],F:4.9%,M:6.5%,n:4191	Close to standard (high value)	full
UP000004994	Solanum lycopersicum (Tomato) (Lycopersicon esculentum) (Strain: cv. Heinz 1706)	4081	34652	C:92.3%[S:90.2%,D:2.2%],F:2.6%,M:5.1%,n:5950	Standard	full
UP000270924	Wuchereria bancrofti	6293	13000	C:77.8%[S:77.3%,D:0.6%],F:7.1%,M:15%,n:3131	Standard	full
UP000494040	Cimex lectularius (Bed bug) (Acanthia lectularia) (Strain: Harlan)	79782	14152	C:93.4%[S:90.9%,D:2.5%],F:2.3%,M:4.3%,n:2510	Standard	full
UP000184356	Aspergillus sydowii CBS 593.65 (Strain: CBS 593.65)	1036612	13568	C:98.1%[S:97.4%,D:0.6%],F:0.6%,M:1.4%,n:4191	Close to standard (high value)	full
UP000324222	Portunus trituberculatus (Swimming crab) (Neptunus trituberculatus)	210409	99420	C:42.6%[S:42.2%,D:0.5%],F:22.6%,M:34.7%,n:1013	Outlier (high value)	full
UP000007110	Strongylocentrotus purpuratus (Purple sea urchin)	7668	34417	C:99.4%[S:61.7%,D:37.6%],F:0.3%,M:0.3%,n:954	Unknown	full
UP000002059	Paracoccidioides lutzii (strain ATCC MYA-826 / Pb01) (Paracoccidioides brasiliensis) (Strain: ATCC MYA-826 / Pb01)	502779	8811	C:97.2%[S:97.1%,D:0.1%],F:1.4%,M:1.4%,n:4862	Standard	full
UP000326198	Aspergillus bertholletiae (Strain: IBT 29228)	1226010	12944	C:98%[S:97.7%,D:0.4%],F:0.8%,M:1.2%,n:4191	Close to standard (high value)	full
UP000504620	Bicyclus anynana (Squinting bush brown butterfly)	110368	19396	C:99%[S:72.5%,D:26.6%],F:0.3%,M:0.7%,n:5286	Outlier (high value)	full
UP000007304	Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis) (Strain: ATCC 34100 / CBS 525.76 / NIH/UT8656)	858893	9391	C:97.3%[S:95.5%,D:1.8%],F:0.7%,M:2%,n:6265	Close to standard (low value)	full
UP000076738	Calocera viscosa (strain TUFC12733) (Strain: TUFC12733)	1330018	12323	C:98%[S:96.5%,D:1.5%],F:1.1%,M:1%,n:1764	Unknown	full
UP000191285	Penicillium steckii (Strain: IBT 24891)	303698	10355	C:92.2%[S:91.8%,D:0.4%],F:0.2%,M:7.6%,n:4191	Standard	full
UP000226431	Ophiocordyceps camponoti-rufipedis (Strain: Map16)	2004952	7618	C:87.3%[S:87.2%,D:0.1%],F:5.7%,M:7.1%,n:4494	Close to standard (low value)	full
UP000054673	Trichinella sp. T6	92179	18636	C:67.8%[S:40.3%,D:27.5%],F:0.7%,M:31.6%,n:3131	Unknown	full
UP000015103	Rhodnius prolixus (Triatomid bug)	13249	14771	C:91.3%[S:89.9%,D:1.4%],F:3.9%,M:4.8%,n:2510	Standard	full
UP000033647	Zymoseptoria brevis (Strain: Zb18110)	1047168	10566	C:98.5%[S:98.4%,D:0%],F:1%,M:0.5%,n:3578	Close to standard (low value)	full
UP000193380	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	8022	46447	C:73.8%[S:52%,D:21.8%],F:9.6%,M:16.6%,n:3640	Close to standard (high value)	full
UP000555649	Herpetotheres cachinnans (Laughing falcon) (Falco cachinnans)	56343	14321	C:80.2%[S:80%,D:0.3%],F:5.9%,M:13.9%,n:8338	Close to standard (high value)	full
UP000230249	Candida auris (Yeast) (Strain: B8441)	498019	5409	C:97.4%[S:97.2%,D:0.2%],F:0.6%,M:2%,n:2137	Standard	full
UP000247409	Gracilariopsis chorda (Strain: SKKU-2015)	448386	10593	C:80.8%[S:78.8%,D:2%],F:5.1%,M:14.1%,n:255	Unknown	full
UP000053454	Octopus bimaculoides (California two-spotted octopus)	37653	36239	C:80.3%[S:65.3%,D:15%],F:7.6%,M:12.2%,n:5295	Unknown	full
UP000249363	Talaromyces amestolkiae (Strain: CIB)	1196081	10407	C:92.2%[S:91.9%,D:0.4%],F:1.5%,M:6.3%,n:4191	Standard	full
UP000233160	Propithecus coquereli (Coquerel's sifaka) (Propithecus verreauxi coquereli)	379532	32113	C:88.6%[S:61.7%,D:26.9%],F:2.4%,M:8.9%,n:13780	Standard	full
UP000026915	Theobroma cacao (Cacao) (Cocoa) (Strain: cv. Matina 1-6)	3641	40611	C:99.3%[S:59.1%,D:40.2%],F:0.2%,M:0.5%,n:2326	Outlier (high value)	full
UP000549499	Crotophaga sulcirostris (Groove-billed ani)	33598	13847	C:79.3%[S:79%,D:0.3%],F:5.9%,M:14.8%,n:8338	Standard	full
UP000198211	Phytophthora megakarya (Strain: zdho120)	4795	34747	C:91%[S:90%,D:1%],F:3%,M:6%,n:100	Close to standard (high value)	full
UP000008225	Callithrix jacchus (White-tufted-ear marmoset)	9483	42828	C:95.6%[S:53.4%,D:42.2%],F:0.8%,M:3.5%,n:13780	Standard	full
UP000033188	Babesia bigemina (Strain: Bond)	5866	4432	C:97.5%[S:97.2%,D:0.4%],F:0.5%,M:1.9%,n:1135	Close to standard (low value)	full
UP000542358	Oreocharis arfaki (tit berrypecker)	979223	13980	C:75.7%[S:75.6%,D:0.1%],F:5.5%,M:18.8%,n:10844	Standard	full
UP000030653	Dacryopinax primogenitus (strain DJM 731) (Brown rot fungus) (Strain: DJM-731 SS1)	1858805	10233	C:94.8%[S:94.2%,D:0.7%],F:0.9%,M:4.3%,n:1764	Unknown	full
UP000248961	Aspergillus homomorphus (strain CBS 101889) (Strain: CBS 101889)	1450537	11360	C:98%[S:97.9%,D:0.2%],F:0.5%,M:1.4%,n:4191	Standard	full
UP000192758	Enterocytozoon hepatopenaei (Strain: TH1)	646526	2431	C:56.7%[S:52.2%,D:4.5%],F:1.5%,M:41.8%,n:600	Unknown	full
UP000016934	Cochliobolus sativus (strain ND90Pr / ATCC 201652) (Common root rot and spot blotch fungus) (Bipolaris sorokiniana) (Strain: ND90Pr / ATCC 201652)	665912	12174	C:99.1%[S:98.9%,D:0.1%],F:0.3%,M:0.6%,n:6641	Standard	full
UP000240760	Trichoderma longibrachiatum ATCC 18648 (Strain: ATCC 18648)	983965	10930	C:89.1%[S:88.9%,D:0.1%],F:4.4%,M:6.5%,n:4494	Standard	full
UP000054144	Fistulina hepatica ATCC 64428 (Strain: ATCC 64428)	1128425	9322	C:70.8%[S:69.5%,D:1.4%],F:2.6%,M:26.6%,n:3870	Close to standard (low value)	full
UP000319257	Phialemoniopsis curvata (Strain: D216)	1093900	12104	C:97%[S:94.1%,D:2.9%],F:0.6%,M:2.4%,n:3817	Standard	full
UP000030645	Morus notabilis	981085	26760	C:87.9%[S:84.8%,D:3.1%],F:4.5%,M:7.7%,n:2326	Close to standard (low value)	full
UP000250321	Prunus yedoensis var. nudiflora (Strain: cv. Jeju island)	2094558	40375	C:79.5%[S:53.9%,D:25.6%],F:6.8%,M:13.7%,n:2326	Standard	full
UP000481288	Lachnellula cervina (Strain: CBS 625.97)	1316786	9411	C:87.9%[S:87.6%,D:0.3%],F:1.9%,M:10.2%,n:5177	Close to standard (low value)	full
UP000258309	Scytalidium lignicola (Hyphomycete) (Strain: DSM 105466)	5539	12794	C:92.8%[S:92.2%,D:0.6%],F:1.9%,M:5.3%,n:3234	Close to standard (high value)	full
UP000541332	Alopecoenas beccarii (Western bronze ground-dove)	262131	14573	C:78.9%[S:78.6%,D:0.3%],F:6.3%,M:14.8%,n:8338	Close to standard (high value)	full
UP000053712	Termitomyces sp. J132 (Strain: J132)	1306850	11124	C:92%[S:91.1%,D:0.9%],F:3.3%,M:4.7%,n:3870	Close to standard (low value)	full
UP000001460	Cryptosporidium muris (strain RN66) (Strain: RN66)	441375	3930	C:99.4%[S:99.4%,D:0%],F:0.2%,M:0.4%,n:502	Standard	full
UP000515140	Phascolarctos cinereus (Koala)	38626	37678	C:98.1%[S:51.3%,D:46.8%],F:0.4%,M:1.4%,n:9226	Close to standard (high value)	full
UP000076761	Neolentinus lepideus HHB14362 ss-1 (Strain: HHB14362 ss-1)	1314782	13108	C:99.3%[S:98.8%,D:0.5%],F:0.3%,M:0.4%,n:2898	Standard	full
UP000018948	Phytophthora parasitica P10297 (Strain: P10297)	1317064	26452	C:99%[S:89%,D:10%],F:0%,M:1%,n:100	Standard	full
UP000001449	Thalassiosira pseudonana (Marine diatom) (Cyclotella nana) (Strain: CCMP1335)	35128	11718	C:97%[S:95%,D:2%],F:3%,M:0%,n:100	Unknown	full
UP000504605	Vicugna pacos (Alpaca) (Lama pacos)	30538	36880	C:97.2%[S:55.7%,D:41.5%],F:1.7%,M:1.1%,n:13335	Close to standard (high value)	full
UP000094455	Pichia membranifaciens NRRL Y-2026 (Strain: NRRL Y-2026)	763406	5536	C:96.1%[S:95.7%,D:0.3%],F:1.6%,M:2.3%,n:2137	Standard	full
UP000558958	Sakesphorus luctuosus	419690	14098	C:74.9%[S:74.6%,D:0.3%],F:5.2%,M:19.9%,n:10844	Close to standard (high value)	full
UP000298390	Fomitopsis rosea (Strain: DSM 105464)	34475	11196		Close to standard (low value)	full
UP000008536	Zygosaccharomyces rouxii (strain ATCC 2623 / CBS 732 / NBRC 1130 / NCYC 568 / NRRL Y-229) (Candida mogii) (Strain: ATCC 2623 / CBS 732 / BCRC 21506 / NBRC 1130 / NCYC 568 / NRRL Y-229)	559307	4987	C:99.8%[S:99.6%,D:0.2%],F:0.1%,M:0.1%,n:2137	Close to standard (low value)	full
UP000543364	Cephalopterus ornatus (amazonian umbrellabird)	114276	13893	C:73.7%[S:73.5%,D:0.2%],F:5.9%,M:20.4%,n:10844	Standard	full
UP000295264	Sousa chinensis (Indo-pacific humpbacked dolphin) (Steno chinensis)	103600	8382	C:36%[S:35.7%,D:0.3%],F:0.8%,M:63.2%,n:13335	Close to standard (low value)	full
UP000014254	Mucor circinelloides f. circinelloides (strain 1006PhL) (Mucormycosis agent) (Calyptromyces circinelloides) (Strain: 1006PhL)	1220926	12143	C:99.7%[S:99.4%,D:0.3%],F:0.3%,M:0%,n:2449	Unknown	full
UP000472262	Sinocyclocheilus grahami (Dianchi golden-line fish) (Barbus grahami)	75366	102128	C:91.9%[S:24.6%,D:67.3%],F:3.2%,M:4.8%,n:3640	Outlier (high value)	full
UP000186698	Xenopus laevis (African clawed frog) (Strain: J)	8355	44571	C:94.7%[S:46%,D:48.8%],F:1.1%,M:4.2%,n:5310	Unknown	full
UP000001471	Pyrenophora tritici-repentis (strain Pt-1C-BFP) (Wheat tan spot fungus) (Drechslera tritici-repentis) (Strain: Pt-1C-BFP)	426418	12062	C:95.5%[S:95.4%,D:0.1%],F:2.5%,M:2.1%,n:6641	Standard	full
UP000009328	Wickerhamomyces ciferrii (strain ATCC 14091 / BCRC 22168 / CBS 111 / JCM 3599 / NBRC 0793 / NRRL Y-1031 F-60-10) (Yeast) (Pichia ciferrii) (Strain: ATCC 14091 / BCRC 22168 / CBS 111 / JCM 3599 / NBRC 0793 / NRRL Y-1031 F-60-10)	1206466	6698	C:95.8%[S:95.5%,D:0.3%],F:1.7%,M:2.5%,n:2137	Close to standard (high value)	full
UP000531938	Nothoprocta ornata	83376	13721	C:78.8%[S:78.5%,D:0.4%],F:5.8%,M:15.3%,n:8338	Standard	full
UP000549775	Acrocephalus arundinaceus (Great reed-warbler)	39621	13628	C:68.8%[S:68.3%,D:0.5%],F:6.5%,M:24.7%,n:10844	Standard	full
UP000078561	Absidia glauca (Pin mould) (Strain: CBS 101.48)	4829	14825	C:96.7%[S:91%,D:5.6%],F:2.2%,M:1.2%,n:2449	Unknown	full
UP000562322	Alectura lathami (Australian brush turkey)	81907	13377	C:76.3%[S:76%,D:0.3%],F:6.7%,M:17%,n:8338	Close to standard (low value)	full
UP000252519	Ancylostoma caninum (Dog hookworm) (Strain: Baltimore)	29170	29973	C:72.3%[S:65%,D:7.3%],F:11.5%,M:16.1%,n:3131	Close to standard (high value)	full
UP000030651	Pestalotiopsis fici (strain W106-1 / CGMCC3.15140) (Strain: W106-1 / CGMCC3.15140)	1229662	15412	C:98.4%[S:98.1%,D:0.4%],F:0.4%,M:1.2%,n:3817	Close to standard (high value)	full
UP000568556	Chordeiles acutipennis (Lesser nighthawk) (Caprimulgus acutipennis)	118183	14023	C:79%[S:78.7%,D:0.3%],F:6.2%,M:14.8%,n:8338	Standard	full
UP000087171	Cicer arietinum (Chickpea) (Garbanzo) (Strain: cv. CDC Frontier)	3827	30622	C:99%[S:71.4%,D:27.6%],F:0.2%,M:0.9%,n:5366	Standard	full
UP000006038	Oryza brachyantha (Strain: IRGC 101232)	4533	31989	C:90.1%[S:88.2%,D:1.9%],F:4.8%,M:5.1%,n:4896	Outlier (high value)	full
UP000215127	Zymoseptoria tritici ST99CH_3D7	1276538	11722	C:97.1%[S:97%,D:0.1%],F:1%,M:1.8%,n:3786	Standard	full
UP000000304	Drosophila simulans (Fruit fly) (Strain: mosaic)	7240	15361	C:81.1%[S:80.6%,D:0.5%],F:6.9%,M:12%,n:3285	Standard	full
UP000000768	Sorghum bicolor (Sorghum) (Sorghum vulgare) (Strain: cv. BTx623)	4558	41380	C:98.9%[S:73.9%,D:25%],F:0.3%,M:0.8%,n:4896	Outlier (high value)	full
UP000001805	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987) (Strain: ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	367110	10257	C:99.2%[S:87.5%,D:11.7%],F:0.2%,M:0.5%,n:3817	Outlier (high value)	full
UP000515156	Microcaecilia unicolor	1415580	30305	C:96.9%[S:53.6%,D:43.2%],F:0.5%,M:2.6%,n:5310	Unknown	full
UP000504616	Bactrocera dorsalis (Oriental fruit fly) (Dacus dorsalis) (Strain: Punador)	27457	13409	C:98.8%[S:70%,D:28.8%],F:0.5%,M:0.8%,n:3285	Standard	full
UP000030816	Metarhizium album (strain ARSEF 1941) (Strain: ARSEF 1941)	1081103	8389	C:96.2%[S:96%,D:0.2%],F:1.8%,M:2%,n:4494	Close to standard (low value)	full
UP000017200	Microbotryum lychnidis-dioicae (strain p1A1 Lamole / MvSl-1064) (Anther smut fungus) (Strain: p1A1 Lamole)	683840	7656	C:98.1%[S:93.4%,D:4.7%],F:0.4%,M:1.5%,n:1764	Unknown	full
UP000030686	Penicillium roqueforti (strain FM164) (Strain: FM164)	1365484	12315	C:97.6%[S:97.5%,D:0.1%],F:0.8%,M:1.6%,n:4191	Close to standard (high value)	full
UP000472270	Sinocyclocheilus rhinocerous	307959	97524	C:94.4%[S:20.5%,D:73.9%],F:2.3%,M:3.4%,n:3640	Outlier (high value)	full
UP000271889	Cylicostephanus goldi (Nematode worm)	71465	13786	C:12.6%[S:12%,D:0.6%],F:9.6%,M:77.7%,n:3131	Standard	full
UP000076584	Colletotrichum incanum (Strain: MAFF 238704)	1573173	12795	C:93%[S:92.8%,D:0.2%],F:0.1%,M:6.9%,n:6841	Standard	full
UP000182235	Emergomyces pasteurianus Ep9510 (Strain: UAMH 9510)	1447872	8944	C:98.7%[S:98.5%,D:0.2%],F:0.7%,M:0.6%,n:4862	Standard	full
UP000275846	Schistocephalus solidus (Tapeworm) (Strain: NST_G2)	70667	20172	C:60.1%[S:59.2%,D:0.8%],F:11.8%,M:28.1%,n:954	Unknown	full
UP000182658	Coniochaeta ligniaria NRRL 30616 (Strain: NRRL 30616)	1408157	13658	C:97.3%[S:97%,D:0.2%],F:1.4%,M:1.3%,n:3817	Outlier (high value)	full
UP000008864	Trichophyton rubrum (strain ATCC MYA-4607 / CBS 118892) (Athlete's foot fungus) (Strain: ATCC MYA-4607 / CBS 118892)	559305	10006	C:84.4%[S:74.9%,D:9.4%],F:8.3%,M:7.3%,n:4862	Standard	full
UP000054843	Trichinella papuae	268474	15285	C:65.2%[S:40.5%,D:24.7%],F:0.5%,M:34.3%,n:3131	Unknown	full
UP000256690	Aspergillus mulundensis (Strain: DSM 5745)	1810919	11569	C:95.5%[S:94.9%,D:0.6%],F:1.1%,M:3.4%,n:4191	Standard	full
UP000528411	Balaeniceps rex (Shoebill)	33584	12216	C:57%[S:56.6%,D:0.4%],F:8.5%,M:34.5%,n:8338	Outlier (low value)	full
UP000292526	Monosporascus sp. 5C6A (Strain: 5C6A)	2211642	12533	C:96.4%[S:96.1%,D:0.3%],F:1.3%,M:2.3%,n:3817	Standard	full
UP000325672	Aspergillus pseudotamarii (Strain: CBS 117625)	132259	13426	C:97.4%[S:96.9%,D:0.5%],F:0.8%,M:1.8%,n:4191	Close to standard (high value)	full
UP000586926	Mohoua ochrocephala	874463	13564	C:70.9%[S:70.7%,D:0.2%],F:6.5%,M:22.6%,n:10844	Standard	full
UP000472266	Strigops habroptila (Kakapo)	2489341	24357	C:93.2%[S:70.6%,D:22.6%],F:2.5%,M:4.3%,n:8338	Outlier (high value)	full
UP000515124	Prunus avium (Cherry) (Cerasus avium) (Strain: cv. Satonishiki)	42229	30515	C:98.1%[S:69.8%,D:28.3%],F:0.7%,M:1.2%,n:2326	Standard	full
UP000078397	Pochonia chlamydosporia 170	1380566	14143	C:97.1%[S:96.5%,D:0.7%],F:0.6%,M:2.3%,n:4494	Standard	full
UP000322000	Trichoplusia ni (Cabbage looper)	7111	20889	C:98.7%[S:65.6%,D:33.1%],F:0.2%,M:1.1%,n:5286	Outlier (high value)	full
UP000028990	Fukomys damarensis (Damaraland mole rat) (Cryptomys damarensis)	885580	20406	C:76.9%[S:76.3%,D:0.6%],F:4.7%,M:18.5%,n:13798	Close to standard (low value)	full
UP000007115	Hypocrea virens (strain Gv29-8 / FGSC 10586) (Gliocladium virens) (Trichoderma virens) (Strain: Gv29-8 / FGSC 10586)	413071	12389	C:98.7%[S:98.3%,D:0.4%],F:0.8%,M:0.5%,n:4494	Standard	full
UP000579812	Onychostoma macrolepis	369639	24720	C:92.1%[S:90.6%,D:1.5%],F:0.9%,M:7%,n:3640	Close to standard (low value)	full
UP000008066	Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) (Strain: DSM 1495 / CBS 144.50 / IMI 039719)	759272	7184	C:93.7%[S:93.6%,D:0.1%],F:1.5%,M:4.8%,n:3817	Close to standard (low value)	full
UP000236630	Citrus unshiu (Satsuma mandarin) (Citrus nobilis var. unshiu) (Strain: cv. Miyagawa wase)	55188	35792	C:92.9%[S:64.4%,D:28.5%],F:3.1%,M:3.9%,n:2326	Outlier (high value)	full
UP000193498	Basidiobolus meristosporus CBS 931.73 (Strain: CBS 931.73)	1314790	15513	C:97.4%[S:69.7%,D:27.7%],F:0.9%,M:1.7%,n:758	Unknown	full
UP000094527	Orchesella cincta (Springtail) (Podura cincta)	48709	20218	C:89.7%[S:85%,D:4.7%],F:3.9%,M:6.3%,n:1013	Unknown	full
UP000593571	Rousettus aegyptiacus (Egyptian rousette) (Egyptian fruit bat)	9407	60832	C:95.8%[S:45.5%,D:50.3%],F:0.4%,M:3.7%,n:12234	Close to standard (high value)	full
UP000005204	Bombyx mori (Silk moth) (Strain: p50T)	7091	14776	C:84.8%[S:83.8%,D:1%],F:6.2%,M:9%,n:5286	Standard	full
UP000557230	Indicator maculatus (spotted honeyguide)	545262	13941	C:77.6%[S:77.3%,D:0.3%],F:6.5%,M:15.9%,n:8338	Standard	full
UP000265520	Trifolium medium (Strain: cv. 10/8)	97028	116147	C:5.6%[S:5.3%,D:0.3%],F:7.6%,M:86.8%,n:5366	Outlier (high value)	full
UP000189702	Gossypium hirsutum (Upland cotton) (Gossypium mexicanum) (Strain: cv. TM-1)	3635	76176	C:98.4%[S:16.9%,D:81.5%],F:0.2%,M:1.4%,n:2326	Outlier (high value)	full
UP000582659	Bursaphelenchus xylophilus (Pinewood nematode worm) (Aphelenchoides xylophilus)	6326	15859	C:76.2%[S:74.2%,D:1.9%],F:1%,M:22.8%,n:3131	Standard	full
UP000245771	Meira miltonrushii (Strain: MCA 3882)	1280837	7452	C:94.3%[S:93.9%,D:0.3%],F:1.4%,M:4.3%,n:1764	Unknown	full
UP000274504	Hymenolepis diminuta (Rat tapeworm)	6216	11238	C:69.5%[S:68.8%,D:0.7%],F:6.5%,M:24%,n:954	Unknown	full
UP000297299	Botryotinia calthae (Strain: MUCL2830)	38488	12263		Standard	full
UP000242877	Ascosphaera apis ARSEF 7405 (Strain: ARSEF 7405)	392613	6442	C:81%[S:80.9%,D:0.1%],F:4.9%,M:14.1%,n:4862	Close to standard (low value)	full
UP000249293	Pichia kudriavzevii (Yeast) (Issatchenkia orientalis) (Strain: CBS573)	4909	5146	C:97.4%[S:97.1%,D:0.3%],F:0.7%,M:1.9%,n:2137	Close to standard (low value)	full
UP000319731	Synchytrium microbalum (Strain: JEL517)	1806994	6304	C:90.2%[S:89.3%,D:0.9%],F:1.2%,M:8.6%,n:758	Unknown	full
UP000078348	Blastocystis sp. subtype 1 (strain ATCC 50177 / NandII) (Strain: ATCC 50177 / NandII)	478820	6377	C:99%[S:96%,D:3%],F:0%,M:1%,n:100	Unknown	full
UP000550059	Setophaga kirtlandii (Kirtland's warbler) (Dendroica kirtlandii)	298831	13871	C:74%[S:73.8%,D:0.2%],F:5.7%,M:20.2%,n:10844	Standard	full
UP000267821	Terfezia boudieri ATCC MYA-4762 (Strain: ATCC MYA-4762)	1051890	12026	C:95.4%[S:92.6%,D:2.9%],F:1.6%,M:2.9%,n:1706	Unknown	full
UP000472273	Pseudonaja textilis (Eastern brown snake)	8673	27546	C:85.7%[S:64.6%,D:21.1%],F:3.9%,M:10.4%,n:7480	Unknown	full
UP000076532	Fibularhizoctonia sp. CBS 109695 (Strain: CBS 109695)	436010	31941	C:98.4%[S:88.4%,D:10.1%],F:0.8%,M:0.8%,n:2898	Outlier (high value)	full
UP000278807	Rodentolepis nana (Dwarf tapeworm) (Hymenolepis nana)	102285	13592	C:68.6%[S:67.4%,D:1.2%],F:6.7%,M:24.7%,n:954	Unknown	full
UP000226192	Ophiocordyceps australis (Strain: Map64)	1399860	8168	C:96%[S:96%,D:0%],F:1.8%,M:2.2%,n:4494	Close to standard (low value)	full
UP000299102	Eumeta variegata (Bagworm moth) (Eumeta japonica)	151549	96130	C:71.6%[S:70.1%,D:1.6%],F:7.4%,M:21%,n:5286	Outlier (high value)	full
UP000489600	Arabis nemorensis	586526	28762	C:93.8%[S:91%,D:2.8%],F:1.7%,M:4.5%,n:4596	Outlier (high value)	full
UP000529852	Furnarius figulus	463165	13848	C:74.2%[S:73.9%,D:0.2%],F:5%,M:20.9%,n:10844	Standard	full
UP000580171	Pandion haliaetus (Osprey) (Falco haliaetus)	56262	12585	C:60.9%[S:60.7%,D:0.2%],F:9.2%,M:29.9%,n:8338	Close to standard (low value)	full
UP000308365	Monodon monoceros (Narwhal) (Ceratodon monodon)	40151	20731	C:71.5%[S:70.8%,D:0.7%],F:7.7%,M:20.7%,n:13335	Standard	full
UP000008513	Neurospora tetrasperma (strain FGSC 2509 / P0656) (Strain: strain FGSC 2509 / P0656)	510952	11177	C:95.7%[S:95.5%,D:0.2%],F:0.8%,M:3.5%,n:3817	Standard	full
UP000039865	Stylonychia lemnae (Ciliate) (Strain: 130c)	5949	20720	C:97.1%[S:93.6%,D:3.5%],F:1.2%,M:1.8%,n:171	Unknown	full
UP000241107	[Candida] pseudohaemulonii (Strain: B12108)	418784	5132	C:92.8%[S:92.7%,D:0.1%],F:1.4%,M:5.8%,n:2137	Close to standard (low value)	full
UP000070700	Mollisia scopiformis (Strain: CBS 120377)	149040	18561	C:98.2%[S:98.1%,D:0.2%],F:1.4%,M:0.4%,n:5177	Outlier (high value)	full
UP000016930	Ceriporiopsis subvermispora (strain B) (White-rot fungus) (Gelatoporia subvermispora) (Strain: B)	914234	12078	C:91.9%[S:91.2%,D:0.7%],F:1.4%,M:6.7%,n:4464	Standard	full
UP000564784	Loxia curvirostra (Red crossbill)	64802	14544	C:77.4%[S:77.2%,D:0.2%],F:5%,M:17.6%,n:10844	Close to standard (high value)	full
UP000515163	Actinia tenebrosa (Australian red waratah sea anemone)	6105	23827	C:97.3%[S:85.8%,D:11.4%],F:1.4%,M:1.4%,n:954	Unknown	full
UP000054282	Plasmodium falciparum (isolate Dd2)	57267	5132	C:52.3%[S:52.2%,D:0.1%],F:5.7%,M:42%,n:3642	Close to standard (low value)	full
UP000015241	Fomitopsis pinicola (strain FP-58527) (Brown rot fungus) (Strain: FP-58527 SS1)	743788	13806	C:98.7%[S:98.1%,D:0.6%],F:0.9%,M:0.4%,n:4464	Standard	full
UP000504615	Pogonomyrmex barbatus (red harvester ant)	144034	13753	C:96.4%[S:62.9%,D:33.5%],F:2.5%,M:1.1%,n:5991	Standard	full
UP000095751	Fragilariopsis cylindrus CCMP1102 (Strain: CCMP1102)	635003	18075	C:95%[S:95%,D:0%],F:4%,M:1%,n:100	Unknown	full
UP000079169	Diaphorina citri (Asian citrus psyllid)	121845	21517	C:87%[S:66.6%,D:20.4%],F:6.3%,M:6.7%,n:2510	Close to standard (high value)	full
UP000002489	Fusarium oxysporum (strain Fo5176) (Fusarium vascular wilt) (Strain: Fo5176)	660025	17784	C:96.8%[S:96%,D:0.8%],F:1.1%,M:2.1%,n:4494	Close to standard (high value)	full
UP000032304	Gossypium raimondii (New World cotton)	29730	66534	C:98.1%[S:40.8%,D:57.3%],F:0.9%,M:0.9%,n:2326	Outlier (high value)	full
UP000327118	Aspergillus coremiiformis (Strain: CBS 553.77)	138285	9078	C:97%[S:96.8%,D:0.2%],F:0.5%,M:2.4%,n:4191	Close to standard (low value)	full
UP000017861	Trypanosoma cruzi Dm28c (Strain: Dm28c)	1416333	11346	C:91.5%[S:91.5%,D:0%],F:7.7%,M:0.8%,n:130	Close to standard (high value)	full
UP000410492	Callosobruchus maculatus (Southern cowpea weevil) (Pulse bruchid)	64391	30448	C:79.8%[S:59.4%,D:20.3%],F:7.5%,M:12.7%,n:2124	Outlier (high value)	full
UP000515146	Dermatophagoides pteronyssinus (European house dust mite) (Strain: airmid)	6956	12480	C:95.5%[S:84.4%,D:11.1%],F:0.2%,M:4.2%,n:2934	Unknown	full
UP000002494	Rattus norvegicus (Rat) (Strain: Brown Norway)	10116	29928	C:96.9%[S:74.4%,D:22.5%],F:0.9%,M:2.1%,n:13798	Standard	full
UP000005215	Ictidomys tridecemlineatus (Thirteen-lined ground squirrel) (Spermophilus tridecemlineatus)	43179	25333	C:92.9%[S:69.9%,D:23%],F:1.8%,M:5.3%,n:13798	Standard	full
UP000036987	Zostera marina (Eelgrass) (Strain: cv. Finnish)	29655	20559	C:86.2%[S:84%,D:2.3%],F:8.1%,M:5.7%,n:3236	Standard	full
